ds,y,y_gspc
2019-10-07,4.608250141143799,2938.7900390625
2019-10-08,4.430749893188477,2893.06005859375
2019-10-09,4.517749786376953,2919.39990234375
2019-10-10,4.57574987411499,2938.1298828125
2019-10-11,4.649750232696533,2970.27001953125
2019-10-14,4.663249969482422,2966.14990234375
2019-10-15,4.909249782562256,2995.679931640625
2019-10-16,4.855249881744385,2989.68994140625
2019-10-17,4.857250213623047,2997.949951171875
2019-10-18,4.762249946594238,2986.199951171875
2019-10-21,4.90024995803833,3006.719970703125
2019-10-22,4.890250205993652,2995.989990234375
2019-10-23,4.8772501945495605,3004.52001953125
2019-10-24,4.921500205993652,3010.2900390625
2019-10-25,5.113500118255615,3022.550048828125
2019-10-28,5.169750213623047,3039.419921875
2019-10-29,5.072999954223633,3036.889892578125
2019-10-30,5.074999809265137,3046.77001953125
2019-10-31,5.0254998207092285,3037.56005859375
2019-11-01,5.0647501945495605,3066.909912109375
2019-11-04,5.262499809265137,3078.27001953125
2019-11-05,5.240250110626221,3074.6201171875
2019-11-06,5.1907501220703125,3076.780029296875
2019-11-07,5.208499908447266,3085.179931640625
2019-11-08,5.194499969482422,3093.080078125
2019-11-11,5.204500198364258,3087.010009765625
2019-11-12,5.240250110626221,3091.840087890625
2019-11-13,5.214250087738037,3094.0400390625
2019-11-14,5.244750022888184,3096.6298828125
2019-11-15,5.104750156402588,3120.4599609375
2019-11-18,5.307000160217285,3122.030029296875
2019-11-19,5.199749946594238,3120.179931640625
2019-11-20,5.2795000076293945,3108.4599609375
2019-11-21,5.254499912261963,3103.5400390625
2019-11-22,5.272250175476074,3110.2900390625
2019-11-25,5.530250072479248,3133.639892578125
2019-11-26,5.425000190734863,3140.52001953125
2019-11-27,5.455999851226807,3153.6298828125
2019-11-29,5.418499946594238,3140.97998046875
2019-12-02,5.231249809265137,3113.8701171875
2019-12-03,5.191500186920166,3093.199951171875
2019-12-04,5.235499858856201,3112.760009765625
2019-12-05,5.218500137329102,3117.429931640625
2019-12-06,5.3042497634887695,3145.909912109375
2019-12-09,5.3042497634887695,3135.9599609375
2019-12-10,5.349500179290772,3132.52001953125
2019-12-11,5.433499813079834,3141.6298828125
2019-12-12,5.601749897003174,3168.570068359375
2019-12-13,5.59975004196167,3168.800048828125
2019-12-16,5.628749847412109,3191.449951171875
2019-12-17,5.707250118255615,3192.52001953125
2019-12-18,5.737750053405762,3191.139892578125
2019-12-19,5.886499881744385,3205.3701171875
2019-12-20,5.984250068664551,3221.219970703125
2019-12-23,5.9704999923706055,3224.010009765625
2019-12-24,5.965499877929688,3223.3798828125
2019-12-26,5.979750156402588,3239.909912109375
2019-12-27,5.921750068664551,3240.02001953125
2019-12-30,5.808000087738037,3221.2900390625
2019-12-31,5.882500171661377,3230.780029296875
2020-01-02,5.99774980545044,3257.85009765625
2020-01-03,5.901750087738037,3234.85009765625
2020-01-06,5.926499843597412,3246.280029296875
2020-01-07,5.9982500076293945,3237.179931640625
2020-01-08,6.009500026702881,3253.050048828125
2020-01-09,6.075500011444092,3274.699951171875
2020-01-10,6.107999801635742,3265.35009765625
2020-01-13,6.299499988555908,3288.1298828125
2020-01-14,6.182000160217285,3283.14990234375
2020-01-15,6.139249801635742,3289.2900390625
2020-01-16,6.223249912261963,3316.81005859375
2020-01-17,6.23199987411499,3329.6201171875
2020-01-21,6.198500156402588,3320.7900390625
2020-01-22,6.252749919891357,3321.75
2020-01-23,6.321499824523926,3325.5400390625
2020-01-24,6.26200008392334,3295.469970703125
2020-01-27,6.005000114440918,3243.6298828125
2020-01-28,6.199250221252441,3276.239990234375
2020-01-29,6.138500213623047,3273.39990234375
2020-01-30,6.145249843597412,3283.659912109375
2020-01-31,5.910749912261963,3225.52001953125
2020-02-03,6.008250236511231,3248.919921875
2020-02-04,6.178249835968018,3297.590087890625
2020-02-05,6.269000053405762,3334.68994140625
2020-02-06,6.356249809265137,3345.780029296875
2020-02-07,6.289750099182129,3327.7099609375
2020-02-10,6.574250221252441,3352.090087890625
2020-02-11,6.697249889373779,3357.75
2020-02-12,6.813499927520752,3379.449951171875
2020-02-13,6.769499778747559,3373.93994140625
2020-02-14,7.244750022888184,3380.159912109375
2020-02-18,7.414249897003174,3370.2900390625
2020-02-19,7.867499828338623,3386.14990234375
2020-02-20,7.71750020980835,3373.22998046875
2020-02-21,7.351749897003174,3337.75
2020-02-24,6.831999778747559,3225.889892578125
2020-02-25,6.551249980926514,3128.2099609375
2020-02-26,6.691249847412109,3116.389892578125
2020-02-27,6.315000057220459,2978.760009765625
2020-02-28,6.7517499923706055,2954.219970703125
2020-03-02,6.910749912261963,3090.22998046875
2020-03-03,6.647250175476074,3003.3701171875
2020-03-04,7.112750053405762,3130.1201171875
2020-03-05,6.832250118255615,3023.93994140625
2020-03-06,6.651000022888184,2972.3701171875
2020-03-09,6.136000156402588,2746.56005859375
2020-03-10,6.526999950408936,2882.22998046875
2020-03-11,6.161749839782715,2741.3798828125
2020-03-12,5.407750129699707,2480.639892578125
2020-03-13,6.020999908447266,2711.02001953125
2020-03-16,4.909999847412109,2386.1298828125
2020-03-17,5.4317498207092285,2529.18994140625
2020-03-18,5.070499897003174,2398.10009765625
2020-03-19,5.324250221252441,2409.389892578125
2020-03-20,5.143750190734863,2304.919921875
2020-03-23,5.317249774932861,2237.39990234375
2020-03-24,6.229499816894531,2447.330078125
2020-03-25,6.140500068664551,2475.56005859375
2020-03-26,6.431000232696533,2630.070068359375
2020-03-27,6.318250179290772,2541.469970703125
2020-03-30,6.639750003814697,2626.64990234375
